Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off2,Matches
329,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,28,1989,29,2127,73,62.2,23.6,24,,5,,5,2.07,54,24,+30,+1.27,+0.16,41.7,22.5,+19.1,+0.81,-0.43,Matches
330,Chris LÃ¶we\Chris-Lowe,de GER,DF,Huddersfield,28,1989,23,1588,69,46.4,17.6,19,,4,,8,1.04,13,26,-13,-0.74,+0.10,16.0,27.6,-11.6,-0.65,-0.15,Matches
331,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,28,1989,26,2295,88,67.1,25.5,25,,1,,8,1.58,28,26,+2,+0.08,+0.48,24.3,30.8,-6.4,-0.25,+0.27,Matches
332,David Luiz\David-Luiz,br BRA,DFMF,Chelsea,30,1987,10,840,84,24.6,9.3,9,,1,,3,1.90,17,13,+4,+0.43,-0.27,10.8,11.5,-0.7,-0.08,-0.89,Matches
333,Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Manchester Utd,24,1993,34,2867,84,83.8,31.9,33,,1,,0,2.18,63,26,+37,+1.16,+0.67,51.4,35.4,+16.0,+0.50,+0.31,Matches
334,Dodi Lukebakio\Dodi-Lukebakio,cd COD,MF,Watford,19,1997,1,16,16,0.5,0.2,0,,1,,4,0.00,0,1,-1,-5.63,-5.12,0.4,0.4,0.0,+0.02,+0.33,Matches
335,Levi Lumeka\Levi-Lumeka,eng ENG,FW,Crystal Palace,18,1998,1,26,26,0.8,0.3,0,,1,,0,0.00,0,0,0,0.00,+0.27,1.0,0.0,+1.0,+3.61,+3.53,Matches
336,Matt Macey\Matt-Macey,eng ENG,GK,Arsenal,22,1994,0,,,,,0,,0,,7,,,,,,,,,,,,Matches
337,Niki MÃ¤enpÃ¤Ã¤\Niki-Maenpaa,fi FIN,GK,Brighton,32,1985,0,,,,,0,,0,,5,,,,,,,,,,,,Matches
338,Harry Maguire\Harry-Maguire,eng ENG,DF,Leicester City,24,1993,38,3420,90,100.0,38.0,38,,0,,0,1.24,56,60,-4,-0.11,,47.1,49.0,-1.9,-0.05,,Matches
339,Connor Mahoney\Connor-Mahoney,eng ENG,FWMF,Bournemouth,20,1997,0,,,,,0,,0,,2,,,,,,,,,,,,Matches
340,Riyad Mahrez\Riyad-Mahrez,dz ALG,MFFW,Leicester City,26,1991,36,2950,82,86.3,32.8,34,,2,,0,1.28,49,51,-2,-0.06,+0.32,40.1,41.0,-1.0,-0.03,+0.16,Matches
341,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DFMF,Arsenal,19,1997,15,914,61,26.7,10.2,8,,7,,11,1.67,17,16,+1,+0.10,-0.69,14.2,16.9,-2.7,-0.27,-0.80,Matches
342,Moses Makasi\Moses-Makasi,eng ENG,MF,West Ham,21,1995,0,,,,,0,,0,,2,,,,,,,,,,,,Matches
343,Scott Malone\Scott-Malone,eng ENG,DF,Huddersfield,26,1991,22,1119,51,32.7,12.4,12,,10,,12,0.82,8,23,-15,-1.21,-0.62,9.8,16.5,-6.7,-0.54,+0.05,Matches
344,Sadio ManÃ©\Sadio-Mane,sn SEN,FWMF,Liverpool,25,1992,29,2190,76,64.0,24.3,28,,1,,3,1.97,53,19,+34,+1.40,+0.52,48.5,16.6,+31.9,+1.30,+0.92,Matches
345,Eliaquim Mangala\Eliaquim-Mangala,fr FRA,DF,Everton,26,1991,2,134,67,3.9,1.5,2,,0,,0,1.50,1,5,-4,-2.69,-2.41,1.9,2.8,-0.9,-0.62,-0.35,Matches
346,Eliaquim Mangala\Eliaquim-Mangala,fr FRA,DF,Manchester City,26,1991,9,488,54,14.3,5.4,4,,5,,15,2.78,14,2,+12,+2.21,+0.16,13.5,3.9,+9.6,+1.80,+0.31,Matches
347,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,23,1994,21,1758,84,51.4,19.5,20,,1,,17,0.86,17,31,-14,-0.72,-1.04,18.5,31.4,-12.9,-0.66,-0.80,Matches
348,Solly March\Solly-March,eng ENG,MFFW,Brighton,23,1994,36,1851,51,54.1,20.6,18,,18,,2,1.08,11,29,-18,-0.88,-0.76,18.6,26.8,-8.1,-0.40,-0.17,Matches
349,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,30,1986,28,2210,79,64.6,24.6,24,,4,,5,1.14,25,43,-18,-0.73,-0.58,27.4,35.4,-8.0,-0.32,-0.07,Matches
350,JoÃ£o MÃ¡rio\Joao-Mario,pt POR,MFFW,West Ham,24,1993,13,1022,79,29.9,11.4,12,,1,,1,1.23,13,14,-1,-0.09,+0.63,10.2,15.4,-5.2,-0.46,+0.08,Matches
351,Dean Marney\Dean-Marney,eng ENG,MF,Burnley,33,1984,0,,,,,0,,0,,11,,,,,,,,,,,,Matches
352,Anthony Martial\Anthony-Martial,fr FRA,FWMF,Manchester Utd,21,1995,30,1582,53,46.3,17.6,18,,12,,4,2.03,34,13,+21,+1.19,+0.26,29.3,20.7,+8.5,+0.49,+0.06,Matches
353,Cuco Martina\Cuco-Martina,cw CUW,DF,Everton,27,1989,21,1830,87,53.5,20.3,20,,1,,14,1.33,20,30,-10,-0.49,-0.27,20.7,29.4,-8.6,-0.42,-0.32,Matches
354,Toni MartÃ­nez\Toni-Martinez,es ESP,FW,West Ham,20,1997,0,,,,,0,,0,,6,,,,,,,,,,,,Matches
355,Bruno Martins Indi\Bruno-Martins-Indi,nl NED,DF,Stoke City,25,1992,17,1243,73,36.3,13.8,14,,3,,5,0.76,10,27,-17,-1.23,-0.57,10.9,20.2,-9.3,-0.67,-0.14,Matches
356,Conor Masterson\Conor-Masterson,ie IRL,DF,Liverpool,18,1998,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
357,Arthur Masuaku\Arthur-Masuaku,cd COD,MFDF,West Ham,23,1993,27,1870,69,54.7,20.8,21,,6,,5,1.26,27,29,-2,-0.10,+0.95,21.9,28.8,-6.9,-0.33,+0.40,Matches
358,Juan Mata\Juan-Mata,es ESP,FWMF,Manchester Utd,29,1988,28,1922,69,56.2,21.4,23,,5,,8,2.07,34,10,+24,+1.12,+0.16,31.7,16.5,+15.1,+0.70,+0.58,Matches
359,Nemanja MatiÄ‡\Nemanja-Matic,rs SRB,MF,Manchester Utd,28,1988,36,3118,87,91.2,34.6,35,,1,,0,2.14,64,26,+38,+1.10,+0.50,52.6,36.2,+16.4,+0.47,+0.22,Matches
360,JoÃ«l Matip\Joel-Matip,cm CMR,DF,Liverpool,25,1991,25,1997,80,58.4,22.2,22,,3,,1,2.16,53,27,+26,+1.17,-0.09,45.5,22.4,+23.1,+1.04,+0.17,Matches
361,Konstantinos Mavropanos\Konstantinos-Mavropanos,gr GRE,DF,Arsenal,19,1997,3,195,65,5.7,2.2,3,,0,,0,1.00,6,3,+3,+1.38,+0.83,3.0,2.5,+0.5,+0.25,-0.07,Matches
362,Alfie Mawson\Alfie-Mawson,eng ENG,DF,Swansea City,23,1994,38,3420,90,100.0,38.0,38,,0,,0,0.87,28,56,-28,-0.74,,31.2,58.9,-27.8,-0.73,,Matches
363,Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,cm CMR,FWMF,Stoke City,28,1989,30,2314,77,67.7,25.7,26,,4,,1,0.90,28,45,-17,-0.66,+0.64,27.2,35.8,-8.6,-0.34,+0.69,Matches
364,Chancel Mbemba\Chancel-Mbemba,cd COD,DF,Newcastle Utd,22,1994,9,672,75,19.6,7.5,7,,2,,3,1.11,8,11,-3,-0.40,-0.24,9.3,10.5,-1.2,-0.16,+0.14,Matches
365,James McArthur\James-McArthur,sco SCO,MFFW,Crystal Palace,29,1987,33,2431,74,71.1,27.0,27,,6,,2,1.27,34,35,-1,-0.04,+0.78,37.6,33.0,+4.6,+0.17,+0.20,Matches
366,Gareth McAuley\Gareth-McAuley,nir NIR,DF,West Brom,37,1979,9,458,51,13.4,5.1,5,,4,,18,0.56,3,15,-12,-2.36,-1.96,3.1,8.3,-5.2,-1.02,-0.79,Matches
367,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Swansea City,21,1996,11,276,25,8.1,3.1,2,,9,,2,0.73,3,5,-2,-0.65,+0.09,3.1,4.8,-1.7,-0.58,+0.17,Matches
368,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,27,1989,18,1620,90,47.4,18.0,18,,0,,19,0.94,17,26,-9,-0.50,0.00,15.6,21.7,-6.0,-0.34,-0.34,Matches
369,James McCarthy\James-McCarthy,ie IRL,MF,Everton,26,1990,4,205,51,6.0,2.3,3,,1,,0,0.25,0,6,-6,-2.63,-2.41,1.0,4.6,-3.6,-1.57,-1.38,Matches
