Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off2,Matches
364,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,29,1990,1,90,90,3.6,1.0,1,90,0,,16,1.00,3,3,0,0.00,-0.19,1.2,1.2,+0.1,+0.09,+0.10,Matches
365,Aaron Mooy\Aaron-Mooy,au AUS,MFFW,Brighton,28,1990,22,1658,75,63.5,18.4,20,82,2,8,5,0.91,18,24,-6,-0.33,-0.14,20.7,27.5,-6.8,-0.37,-0.41,Matches
366,Wesley Moraes\Wesley-Moraes,br BRA,FW,Aston Villa,22,1996,21,1790,85,71.0,19.9,21,85,0,,0,1.00,26,31,-5,-0.25,+1.84,21.9,38.5,-16.6,-0.84,+0.31,Matches
367,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,35,1984,8,159,20,6.1,1.8,1,90,7,10,18,2.75,7,1,+6,+3.40,+2.51,4.9,2.3,+2.6,+1.45,+1.11,Matches
368,Ravel Morrison\Ravel-Morrison,eng ENG,MF,Sheffield Utd,26,1993,1,12,12,0.5,0.1,0,,1,12,1,0.00,0,0,0,0.00,-0.18,0.2,0.0,+0.2,+1.66,+1.68,Matches
369,Mason Mount\Mason-Mount,eng ENG,MFFW,Chelsea,20,1999,29,2302,79,88.2,25.6,25,86,4,40,0,1.66,47,33,+14,+0.55,+1.13,43.5,25.1,+18.4,+0.72,-0.37,Matches
370,Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,26,1992,27,1683,62,64.5,18.7,18,84,9,20,2,1.37,29,23,+6,+0.32,+0.22,26.1,25.4,+0.7,+0.04,+0.52,Matches
371,Lys Mousset\Lys-Mousset,fr FRA,FW,Sheffield Utd,23,1996,23,1018,44,40.4,11.3,10,69,13,25,2,1.52,15,11,+4,+0.35,+0.29,12.0,14.0,-2.0,-0.17,-0.27,Matches
372,Jọo Moutinho\Joao-Moutinho,pt POR,MF,Wolves,32,1986,29,2436,84,93.3,27.1,27,89,2,20,0,1.48,39,32,+7,+0.26,+0.26,35.6,26.5,+9.1,+0.34,-0.64,Matches
373,Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,35,1983,19,704,37,27.0,7.8,6,79,13,18,9,1.00,10,10,0,0.00,+0.38,10.3,9.9,+0.4,+0.05,+0.37,Matches
374,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,27,1992,8,620,78,24.6,6.9,6,90,2,40,2,1.38,12,9,+3,+0.44,+0.39,8.7,11.7,-3.1,-0.44,-0.38,Matches
