Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
556,DuÅ¡an TadiÄ‡\Dusan-Tadic,rs SRB,FWMF,Southampton,25,1988,31,2056,66,60.1,22.8,24,,7,,2,1.61,35,17,+18,+0.79,+0.59,Matches
557,Saphir TaÃ¯der\Saphir-Taider,dz ALG,MF,Southampton,22,1992,0,,,,,0,,0,,2,,,,,,,Matches
558,Matt Targett\Matt-Targett,eng ENG,DFMF,Southampton,18,1995,6,226,38,6.6,2.5,3,,3,,20,2.17,2,3,-1,-0.40,-1.02,Matches
559,Matthew Taylor\Matthew-Taylor,eng ENG,DFMF,Burnley,32,1981,10,565,57,16.5,6.3,7,,3,,0,0.80,2,6,-4,-0.64,+0.02,Matches
560,Neil Taylor\Neil-Taylor,wal WAL,DF,Swansea City,25,1989,34,2998,88,87.7,33.3,34,,0,,0,1.56,41,41,0,0.00,+0.64,Matches
561,Ryan Taylor\Ryan-Taylor,eng ENG,DFMF,Newcastle Utd,29,1984,14,906,65,26.5,10.1,11,,3,,5,0.71,6,20,-14,-1.39,-1.07,Matches
562,Steven Taylor\Steven-Taylor,eng ENG,DF,Newcastle Utd,28,1986,10,653,65,19.1,7.3,7,,3,,5,1.50,10,6,+4,+0.55,+1.43,Matches
563,Gary Taylor-Fletcher\Gary-Taylor-Fletcher,eng ENG,FWMF,Leicester City,33,1981,1,18,18,0.5,0.2,0,,1,,1,0.00,0,1,-1,-5.00,-4.79,Matches
564,Dionatan Teixeira\Dionatan-Teixeira,br BRA,DF,Stoke City,22,1992,1,5,5,0.1,0.1,0,,1,,7,3.00,1,0,+1,+18.00,+17.95,Matches
565,John Terry\John-Terry,eng ENG,DF,Chelsea,33,1980,38,3420,90,100.0,38.0,38,,0,,0,2.29,73,32,+41,+1.08,,Matches
566,Jerome Thomas\Jerome-Thomas,eng ENG,FWMF,Crystal Palace,31,1983,1,7,7,0.2,0.1,0,,1,,9,0.00,0,0,0,0.00,+0.11,Matches
567,Tom Thorpe\Tom-Thorpe,eng ENG,DF,Manchester Utd,21,1993,1,1,1,0.0,0.0,0,,1,,1,3.00,0,0,0,0.00,-0.66,Matches
568,Dwight Tiendalli\Dwight-Tiendalli,nl NED,DF,Swansea City,28,1985,3,129,43,3.8,1.4,1,,2,,8,2.00,1,5,-4,-2.79,-2.82,Matches
569,Cheick TiotÃ©\Cheick-Tiote,ci CIV,MF,Newcastle Utd,28,1986,11,895,81,26.2,9.9,10,,1,,0,0.91,13,19,-6,-0.60,0.00,Matches
570,James Tomkins\James-Tomkins,eng ENG,DFMF,West Ham,25,1989,22,1852,84,54.2,20.6,20,,2,,1,1.41,33,27,+6,+0.29,+0.81,Matches
571,Fernando Torres\Fernando-Torres,es ESP,FW,Chelsea,30,1984,0,,,,,0,,0,,1,,,,,,,Matches
572,Kolo TourÃ©\Kolo-Toure,ci CIV,DF,Liverpool,33,1981,11,667,61,19.5,7.4,7,,4,,21,1.75,9,12,-3,-0.40,-0.63,Matches
573,Yaya TourÃ©\Yaya-Toure,ci CIV,MF,Manchester City,31,1983,29,2353,81,68.8,26.1,27,,2,,0,2.24,55,24,+31,+1.19,0.00,Matches
574,Andros Townsend\Andros-Townsend,eng ENG,FWMF,Tottenham,23,1991,17,749,44,21.9,8.3,10,,7,,12,1.59,15,15,0,0.00,-0.17,Matches
575,Armand TraorÃ©\Armand-Traore,sn SEN,DFMF,QPR,24,1989,16,786,49,23.0,8.7,7,,9,,4,0.69,8,19,-11,-1.26,-0.58,Matches
576,Gerhard Tremmel\Gerhard-Tremmel,de GER,GK,Swansea City,35,1978,2,112,56,3.3,1.2,1,,1,,36,0.00,1,3,-2,-1.61,-1.58,Matches
