TeamEGoals,AllowedEGoals,TeamPressure,AllowedPressure,matchtime,matchday,PG,HA,TeamShots,AllowedShots,TeamFouls,AllowedFouls,TeamCorners,AllowedCorners,TeamYellow,TeamRed,AllowedYellow,DifShots,DifFouls,DifCorners,DifYellow,DifRed,DifPressure,DifEGoals,AllowedRed,matchdayaux
0.51375997,1.27826,14.947369,17.181818,13,Sun,3,1,0.75,0.33333334,8,9,3,7,2,0,2,0.41666666,-1,-4,0,0,-2.2344494,-0.76450002,0,4
0.98477697,1.75572,13.947369,12.523809,13,Sun,1,1,0.30769232,0.2857143,7,10,6,7,2,0,1,0.021978021,-3,-1,1,0,1.4235592,-0.77094305,0,4
1.7154599,2.5320899,11,9.1000004,15,Sun,0,0,0.64285713,0.2857143,15,13,4,9,1,0,5,0.35714284,2,-5,-4,-1,1.8999996,-0.81663001,1,4
1.23321,1.03003,11.625,7.9142857,15,Sun,0,1,0.15384616,0.5,8,13,6,4,3,0,3,-0.34615386,-5,2,0,0,3.7107143,0.20317996,0,4
1.17022,1.97079,24.235294,11.272727,11,Sat,0,1,0.16666667,0.25,8,4,6,5,1,0,1,-0.083333328,4,1,0,0,12.962567,-0.80057001,0,3
0.61626297,4.26443,12.769231,14.541667,14,Sat,0,0,0.125,0.41666666,13,5,2,5,3,0,2,-0.29166666,8,-3,1,0,-1.7724361,-3.6481671,0,3
1.16256,1.19008,5.6486487,31.75,14,Sat,0,0,0.42857143,0.44444445,16,5,6,6,2,0,0,-0.015873015,11,0,2,0,-26.101351,-0.027520061,0,3
1.80497,0.712129,12.782609,9.1111107,14,Sat,3,1,0.2,0.30000001,14,10,5,5,3,0,1,-0.10000001,4,0,2,0,3.6714983,1.092841,0,3
1.66919,0.91426599,9.045455,6.0500002,14,Sat,1,0,0.30000001,0.1875,16,10,3,7,4,0,1,0.11250001,6,-4,3,0,2.9954548,0.75492406,0,3
1.06615,1.16363,11.380953,22.9375,14,Sat,0,0,0.35714287,0.33333334,6,5,6,1,1,0,0,0.023809522,1,5,1,0,-11.556547,-0.097480059,0,3
1.29546,2.3195701,13.1,11.25,14,Sat,1,0,0.35294119,0.38461539,8,7,6,6,1,0,3,-0.031674206,1,0,-2,0,1.8500004,-1.0241101,0,3
2.3585401,3.1082001,32.666668,9.7142859,16,Sat,0,1,0.66666669,0.44999999,4,8,5,2,2,0,2,0.2166667,-4,3,0,0,22.952381,-0.74966002,0,3
1.82438,0.054134,5.5588236,35.727272,15,Sun,3,1,0.38461539,0,12,9,9,0,1,0,1,0.38461539,3,9,0,0,-30.168449,1.770246,0,4
1.70399,1.1335,10.125,5.9259257,19,Mon,1,0,0.5,0.25,13,18,7,8,2,0,4,0.25,-5,-1,-2,-1,4.1990743,0.57049,1,2
0.478504,2.6001699,15.235294,8.1351347,12,Sat,0,0,0.375,0.35294119,7,11,4,4,1,0,2,0.022058815,-4,0,-1,0,7.1001596,-2.121666,0,3
